ml_rank,ml_anomaly_score,ml_decision_function,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,runs_from_temp,has_network_connection,external_destination_count,suspicious_keyword_count,process_key,process_guid,process_id,user,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,runs_from_user_profile,has_powershell,is_lolbin,rare_parent_child,commandline_length_max
31,-0.011574824978541454,0.011574824978541454,normal,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,C:\Windows\System32\svchost.exe,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-e631-6a43-3f04-000000000b00},{55857b6a-e631-6a43-3f04-000000000b00},9180,labwin\jjstestal,svchost.exe,fase3_normal,2026-06-30 17:52:17.763+02:00,2026-06-30 17:52:32.463+02:00,4,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,45
32,-0.012009308367596061,0.012009308367596061,normal,N3,schtasks.exe,C:\Windows\System32\schtasks.exe,schtasks  /query /fo LIST,C:\Windows\System32\cmd.exe,2,0,0,1,0,0,0,0,0,2,guid:{55857b6a-e6c9-6a43-4f04-000000000b00},{55857b6a-e6c9-6a43-4f04-000000000b00},12356,labwin\jjstestal,cmd.exe,fase3_normal,2026-06-30 17:54:49.042+02:00,2026-06-30 17:54:49.668+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25
33,-0.02049819376673845,0.02049819376673845,background,,explorer.exe,C:\WINDOWS\Explorer.EXE,,,16,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c0f8-6a44-7200-000000000c00},{55857b6a-c0f8-6a44-7200-000000000c00},4596,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:36:19.545+02:00,2026-07-01 09:41:05.800+02:00,1,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0
34,-0.02049819376673845,0.02049819376673845,background,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,16,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c0fb-6a44-8600-000000000c00},{55857b6a-c0fb-6a44-8600-000000000c00},6644,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:36:07.498+02:00,2026-07-01 09:39:11.532+02:00,1,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0
35,-0.02367676624205639,0.02367676624205639,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Create /TN TFMTestTask /TR notepad.exe /SC ONCE /ST 23:59 /F",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,1,0,0,0,0,0,4,guid:{55857b6a-c3e6-6a44-8301-000000000c00},{55857b6a-c3e6-6a44-8301-000000000c00},15284,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:38:14.176+02:00,2026-07-01 09:38:14.201+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,96
36,-0.02519908253959513,0.02519908253959513,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Query /TN TFMTestTask /V /FO LIST",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,1,0,0,0,0,0,4,guid:{55857b6a-c3e6-6a44-8401-000000000c00},{55857b6a-c3e6-6a44-8401-000000000c00},7604,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:38:14.222+02:00,2026-07-01 09:38:14.236+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69
37,-0.02543800129903062,0.02543800129903062,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Delete /TN TFMTestTask /F",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,1,0,0,0,0,0,4,guid:{55857b6a-c3e8-6a44-8501-000000000c00},{55857b6a-c3e8-6a44-8501-000000000c00},7388,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:38:16.274+02:00,2026-07-01 09:38:16.284+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,61
38,-0.027642770266464334,0.027642770266464334,normal,N1,notepad.exe,C:\Program Files\WindowsApps\microsoft.windowsnotepad_11.2510.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,"""C:\Program Files\WindowsApps\microsoft.windowsnotepad_11.2510.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"" /SESSION:V1VEbPF0bEmJEygXfJ40fwAAAAABAgAB6A8AAPF0bEn4AgAAAAAAAA==",C:\Program Files\WindowsApps\microsoft.windowsnotepad_11.2510.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,7,0,0,0,0,0,0,0,0,1,guid:{55857b6a-e67f-6a43-4104-000000000b00},{55857b6a-e67f-6a43-4104-000000000b00},12492,labwin\jjstestal,notepad.exe,fase3_normal,2026-06-30 17:53:35.163+02:00,2026-06-30 17:53:38.988+02:00,3,1,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,173
39,-0.030350682629728176,0.030350682629728176,normal,,sysmon64.exe,C:\Windows\Sysmon64.exe,,,1,0,0,0,0,0,0,0,0,0,guid:{55857b6a-b1b8-6a43-8602-000000000b00},{55857b6a-b1b8-6a43-8602-000000000b00},11472,NT AUTHORITY\SYSTEM,,fase3_normal,2026-06-30 17:55:36.951+02:00,2026-06-30 17:55:36.951+02:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40,-0.031188872917785382,0.031188872917785382,background,,system,System,,,4,0,0,0,0,0,0,1,0,0,guid:{55857b6a-c0f1-6a44-eb03-000000000000},{55857b6a-c0f1-6a44-eb03-000000000000},4,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:36:02.767+02:00,2026-07-01 09:38:40.506+02:00,1,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
